
── Enrich Member Votes ─────────────────────────────────────────────────
Mode: full | Limit: all
(node:92656) [DEP0205] DeprecationWarning: `module.register()` is deprecated. Use `module.registerHooks()` instead.
(Use `node --trace-deprecation ...` to show where the warning was created)
Found 505 congress_votes_v1 LegislativeVote records
Loaded 505 congress_votes_v1 claims (230 unique bill keys)
  [failed] 118_s_619 roll 143: Congress API 404 at https://api.congress.gov/v3/vote/118/house/1/143?api_key=REDACTED&format=json
  [failed] 118_hjres_7 roll 80: Congress API 404 at https://api.congress.gov/v3/vote/118/senate/1/80?api_key=REDACTED&format=json
  [failed] 118_hjres_7 roll 104: Congress API 404 at https://api.congress.gov/v3/vote/118/house/1/104?api_key=REDACTED&format=json
  [failed] 118_hr_82 roll 338: Congress API 404 at https://api.congress.gov/v3/vote/118/senate/2/338?api_key=REDACTED&format=json
  [failed] 118_hr_82 roll 338: Congress API 404 at https://api.congress.gov/v3/vote/118/senate/2/338?api_key=REDACTED&format=json
  [failed] 118_hr_5009 roll 324: Congress API 404 at https://api.congress.gov/v3/vote/118/senate/2/324?api_key=REDACTED&format=json
  [failed] 118_hr_8932 roll 465: Congress API 404 at https://api.congress.gov/v3/vote/118/house/2/465?api_key=REDACTED&format=json
  [failed] 118_hr_815 roll 152: Congress API 404 at https://api.congress.gov/v3/vote/118/senate/2/152?api_key=REDACTED&format=json
  [failed] 118_hr_815 roll 152: Congress API 404 at https://api.congress.gov/v3/vote/118/senate/2/152?api_key=REDACTED&format=json
  [failed] 118_hr_815 roll 152: Congress API 404 at https://api.congress.gov/v3/vote/118/senate/2/152?api_key=REDACTED&format=json
  [failed] 118_hr_815 roll 152: Congress API 404 at https://api.congress.gov/v3/vote/118/senate/2/152?api_key=REDACTED&format=json
  [failed] 118_hr_815 roll 152: Congress API 404 at https://api.congress.gov/v3/vote/118/senate/1/152?api_key=REDACTED&format=json
  [failed] 118_hr_7888 roll 150: Congress API 404 at https://api.congress.gov/v3/vote/118/senate/2/150?api_key=REDACTED&format=json
  [failed] 118_hr_7888 roll 150: Congress API 404 at https://api.congress.gov/v3/vote/118/senate/2/150?api_key=REDACTED&format=json
  [failed] 118_hr_7888 roll 119: Congress API 404 at https://api.congress.gov/v3/vote/118/house/2/119?api_key=REDACTED&format=json
  [failed] 118_hr_4366 roll 79: Congress API 404 at https://api.congress.gov/v3/vote/118/senate/2/79?api_key=REDACTED&format=json
  [failed] 118_hr_4366 roll 79: Congress API 404 at https://api.congress.gov/v3/vote/118/senate/1/79?api_key=REDACTED&format=json
  [failed] 118_hr_4366 roll 79: Congress API 404 at https://api.congress.gov/v3/vote/118/senate/1/79?api_key=REDACTED&format=json
  [failed] 118_hr_4366 roll 380: Congress API 404 at https://api.congress.gov/v3/vote/118/house/1/380?api_key=REDACTED&format=json
  [failed] 118_hr_7463 roll 67: Congress API 404 at https://api.congress.gov/v3/vote/118/senate/2/67?api_key=REDACTED&format=json
  [failed] 118_hr_6363 roll 312: Congress API 404 at https://api.congress.gov/v3/vote/118/senate/1/312?api_key=REDACTED&format=json
  [failed] 118_hr_2872 roll 12: Congress API 404 at https://api.congress.gov/v3/vote/118/senate/2/12?api_key=REDACTED&format=json
  [failed] 118_hr_2872 roll 12: Congress API 404 at https://api.congress.gov/v3/vote/118/senate/2/12?api_key=REDACTED&format=json
  [failed] 118_hr_2670 roll 341: Congress API 404 at https://api.congress.gov/v3/vote/118/senate/1/341?api_key=REDACTED&format=json
  [failed] 118_hr_3746 roll 146: Congress API 404 at https://api.congress.gov/v3/vote/118/senate/1/146?api_key=REDACTED&format=json
  [failed] 118_hr_3746 roll 243: Congress API 404 at https://api.congress.gov/v3/vote/118/house/1/243?api_key=REDACTED&format=json
  [failed] 118_hjres_26 roll 49: Congress API 404 at https://api.congress.gov/v3/vote/118/senate/1/49?api_key=REDACTED&format=json
  [failed] 118_hjres_26 roll 119: Congress API 404 at https://api.congress.gov/v3/vote/118/house/1/119?api_key=REDACTED&format=json
  [failed] 119_sjres_13 roll 137: Congress API 404 at https://api.congress.gov/v3/vote/119/house/1/137?api_key=REDACTED&format=json
  [failed] 119_sjres_13 roll 237: Congress API 404 at https://api.congress.gov/v3/vote/119/senate/1/237?api_key=REDACTED&format=json
  [failed] 118_hr_10545 roll 339: Congress API 404 at https://api.congress.gov/v3/vote/118/senate/2/339?api_key=REDACTED&format=json
  [failed] 118_s_870 roll 94: Congress API 404 at https://api.congress.gov/v3/vote/118/senate/1/94?api_key=REDACTED&format=json
  [failed] 118_s_870 roll 94: Congress API 404 at https://api.congress.gov/v3/vote/118/senate/1/94?api_key=REDACTED&format=json
  [failed] 118_hr_3935 roll 240: Congress API 404 at https://api.congress.gov/v3/vote/118/senate/2/240?api_key=REDACTED&format=json
  [failed] 118_hr_3935 roll 240: Congress API 404 at https://api.congress.gov/v3/vote/118/senate/2/240?api_key=REDACTED&format=json
  [failed] 118_hr_3935 roll 240: Congress API 404 at https://api.congress.gov/v3/vote/118/senate/1/240?api_key=REDACTED&format=json
  [failed] 118_hr_3935 roll 364: Congress API 404 at https://api.congress.gov/v3/vote/118/house/1/364?api_key=REDACTED&format=json
  [failed] 118_hr_815 roll 152: Congress API 404 at https://api.congress.gov/v3/vote/118/senate/2/152?api_key=REDACTED&format=json
  [failed] 118_hr_2670 roll 328: Congress API 404 at https://api.congress.gov/v3/vote/118/house/1/328?api_key=REDACTED&format=json
  [failed] 119_hr_7147 roll 74: Congress API 404 at https://api.congress.gov/v3/vote/119/senate/2/74?api_key=REDACTED&format=json
  [failed] 119_hr_7147 roll 74: Congress API 404 at https://api.congress.gov/v3/vote/119/senate/2/74?api_key=REDACTED&format=json
  [failed] 119_hr_7147 roll 74: Congress API 404 at https://api.congress.gov/v3/vote/119/senate/2/74?api_key=REDACTED&format=json
