section,dimension,key,value
claims,totals,total_live,1757943
claims,totals,total_live_excl_deprecated,1757761
claims,totals,deprecated_live,182
claims,totals,deleted,21
claims,by_verification_status,VERIFIED,1386803
claims,by_verification_status,PROVISIONAL,220686
claims,by_verification_status,NULL,138010
claims,by_verification_status,DISPUTED,11319
claims,by_verification_status,HARD_FACT,943
claims,by_verification_status,DEPRECATED,182
claims,by_source_category,US Federal Government,490768
claims,sources_per_category,US Federal Government,18
claims,by_source_category,Science & Medicine,488285
claims,sources_per_category,Science & Medicine,26
claims,by_source_category,National Parliaments / Legislation,405642
claims,sources_per_category,National Parliaments / Legislation,86
claims,by_source_category,Pharmaceutical & Health,147880
claims,sources_per_category,Pharmaceutical & Health,10
claims,by_source_category,International Organizations,134485
claims,sources_per_category,International Organizations,12
claims,by_source_category,Archives & Historical,69074
claims,sources_per_category,Archives & Historical,8
claims,by_source_category,Courts & Legal,15956
claims,sources_per_category,Courts & Legal,14
claims,by_source_category,Editorial / Curated,5580
claims,sources_per_category,Editorial / Curated,10
claims,by_source_category_unmapped,event:exoplanet_retractions_v1,75
claims,by_source_category_unmapped,book-analysis:cmppvaz700000sal1cnyfutdx,16
claims,by_ingested_by,openalex_v1,318775
claims,by_ingested_by,nara_catalog_v1,308051
claims,by_ingested_by,voteview_v1,113319
claims,by_ingested_by,openfda_labels_v1,85068
claims,by_ingested_by,hungary_legislation_v1,69441
claims,by_ingested_by,chebi_v1,62000
claims,by_ingested_by,worldbank_v1,54567
claims,by_ingested_by,drugsatfda_v1,46255
claims,by_ingested_by,jacar_v1,44600
claims,by_ingested_by,who_gho_v1,33714
claims,by_ingested_by,crossref_retractions_v1,26624
claims,by_ingested_by,argentina_legislation_v1,25824
claims,by_ingested_by,openalex_journals_v1,25687
claims,by_ingested_by,czech_legislation_v1,24173
claims,by_ingested_by,vdem_v1,19777
claims,by_ingested_by,ofac_sdn_v1,19034
claims,by_ingested_by,congress_bills_tracker_v1,17280
claims,by_ingested_by,italy_legislation_v1,16934
claims,by_ingested_by,chile_legislation_v1,15889
claims,by_ingested_by,rxnorm_v1,14632
claims,by_ingested_by,romania_legislation_v1,13878
claims,by_ingested_by,brazil_legislation_v1,12818
claims,by_ingested_by,cyprus_legislation_v1,12682
claims,by_ingested_by,russia_legislation_v1,12015
claims,by_ingested_by,uk_legislation_v1,11777
claims,by_ingested_by,philippines_legislation_v1,11703
claims,by_ingested_by,nih_reporter_v1,11285
claims,by_ingested_by,clinicaltrials_v1,10957
claims,by_ingested_by,congress_v1,10360
claims,by_ingested_by,luxembourg_legislation_v1,10006
claims,by_ingested_by,europeana_wwi_v1,10000
claims,by_ingested_by,mesh_v1,10000
claims,by_ingested_by,riksdag_v1,9989
claims,by_ingested_by,echr_judgments_v1,9984
claims,by_ingested_by,wipo_lex_v1,9641
claims,by_ingested_by,eec_council_v1,8933
claims,by_ingested_by,costa_rica_legislation_v1,8483
claims,by_ingested_by,sipri_milex_v1,8435
claims,by_ingested_by,colombia_legislation_v1,8159
claims,by_ingested_by,belgium_legislation_v1,7870
claims,by_ingested_by,space_missions_v1,7318
claims,by_ingested_by,poland_legislation_v1,6461
claims,by_ingested_by,bundestag_v1,6343
claims,by_ingested_by,nasa_exoplanet_v1,6277
claims,by_ingested_by,estonia_legislation_v1,5870
claims,by_ingested_by,peru_legislation_v1,5202
claims,by_ingested_by,uk_national_archives_v1,5000
claims,by_ingested_by,thailand_legislation_v1,4938
claims,by_ingested_by,australia_legislation_v1,4740
claims,by_ingested_by,usgs_eq_v1,4696
claims,by_ingested_by,denmark_legislation_v1,4550
claims,by_ingested_by,nz_repealed_acts_v1,4372
claims,by_ingested_by,fred_v1,4349
claims,by_ingested_by,eu_parliament_v1,4331
claims,by_ingested_by,uruguay_legislation_v1,4297
claims,by_ingested_by,western_balkans_v1,4062
claims,by_ingested_by,slovakia_legislation_v1,4050
claims,by_ingested_by,oireachtas_v1,4040
claims,by_ingested_by,taiwan_archives_v1,3935
claims,by_ingested_by,romania_cnsas_v1,3927
claims,by_ingested_by,nationalrat_v1,3868
claims,by_ingested_by,loc_collections_v1,3561
claims,by_ingested_by,india_legislation_v1,3540
claims,by_ingested_by,fec_finance_v1,3500
claims,by_ingested_by,seed:human-history-trajectories,3465
claims,by_ingested_by,ucdp_v1,3432
claims,by_ingested_by,france_legislation_v1,3046
claims,by_ingested_by,parlament_at_v1,3004
claims,by_ingested_by,kenya_legislation_v1,2984
claims,by_ingested_by,un_sc_resolutions_v1,2798
claims,by_ingested_by,norway_legislation_v1,2612
claims,by_ingested_by,switzerland_legislation_v1,2413
claims,by_ingested_by,eu_legislation_v1,2122
claims,by_ingested_by,korea_legislation_v1,2114
claims,by_ingested_by,japan_legislation_v1,2080
claims,by_ingested_by,spain_legislation_v1,2045
claims,by_ingested_by,israel_knesset_v1,2009
claims,by_ingested_by,fr_rules_v1,1920
claims,by_ingested_by,nz_bills_v1,1879
claims,by_ingested_by,seed:medicine-trajectories,1782
claims,by_ingested_by,srilanka_legislation_v1,1704
claims,by_ingested_by,nobel_v1,1688
claims,by_ingested_by,finland_legislation_v1,1683
claims,by_ingested_by,bangladesh_legislation_v1,1664
claims,by_ingested_by,paclii_legislation_v1,1583
claims,by_ingested_by,tweedekamer_v1,1530
claims,by_ingested_by,omim_v1,1512
claims,by_ingested_by,icd11_v1,1374
claims,by_ingested_by,portugal_legislation_v1,1292
claims,by_ingested_by,courtlistener_circuits_v1,1232
claims,by_ingested_by,zambia_legislation_v1,1119
claims,by_ingested_by,iceland_legislation_v1,1069
claims,by_ingested_by,canada_bills_v1,1067
claims,by_ingested_by,miller_center_v1,1059
claims,by_ingested_by,nz_legislation_v1,1041
claims,by_ingested_by,wikidata_nobel_v1,1023
claims,by_ingested_by,central_america_v1,1017
claims,by_ingested_by,taiwan_legislation_v1,1016
claims,by_ingested_by,faers_normalized_drugs_v1,999
claims,by_ingested_by,africanlii_v1,962
claims,by_ingested_by,pakistan_code_v1,943
claims,by_ingested_by,congress_stock_act_v1,921
claims,by_ingested_by,malaysia_legislation_v1,883
claims,by_ingested_by,doj_fara_v1,811
claims,by_ingested_by,cosmetic_faers_v1,810
claims,by_ingested_by,icj_judgments_v1,800
claims,by_ingested_by,volcanic_eruptions_v1,745
claims,by_ingested_by,fec_finance_pac_v1,700
claims,by_ingested_by,caribbean_v1,675
claims,by_ingested_by,wto_disputes_v1,645
claims,by_ingested_by,nz_local_acts_v1,611
claims,by_ingested_by,openfec_v1,600
