nctId,title,sponsor,primaryCompletionDate,completionDate,overallStatus,hasResults,classifiedStatus,reason
NCT00810069,"Early Versus Delayed Switch in Medication in Patients With Major Depressive Disorder","Eli Lilly and Company",2010-02,2010-03,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT01516541,"A Study of Dalcetrapib in Patients With Stable Coronary Heart Disease, With Coronary Heart Disease Risk Equivalents or at Elevated Risk for Cardiovascular Disease","Hoffmann-La Roche",2012-07,2012-07,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 3538d and no coverage in 3538d — the press dropped a still-unresolved story."
NCT01521494,"PA21 Phase II Clinical Study in Hemodialysis Patients With Hyperphosphatemia","Kissei Pharmaceutical Co., Ltd.",2012-07-03,2012-07-03,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT02322866,"Randomized, Double-blind, Placebo-controlled Study to Evaluate Safety & Efficacy of Sarecycline in Treatment of Acne","Almirall, S.A.",2017-01-12,2017-01-12,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT02676466,"The ENRGISE (ENabling Reduction of Low-Grade Inflammation in SEniors) Pilot Study","University of Florida",2018-06-22,2018-06-22,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT01507922,"Comparative Efficacy and Safety of Fenoverine","Bukwang Pharmaceutical",2013-03,2013-06,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 4223d and no coverage in 4223d — the press dropped a still-unresolved story."
NCT02326922,"The Use of Levonorgestrel-Releasing Device (Metraplant-E) in the Treatment of Dysfunctional Uterine Bleeding","Ain Shams Maternity Hospital",2016-02,2016-03,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 3771d and no coverage in 3771d — the press dropped a still-unresolved story."
NCT01150422,"The Acceptability and Feasibility of an Alternative to Routine Follow-up Visit After Medical Abortion in Vietnam","Gynuity Health Projects",2011-04,2011-04,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 5549d and no coverage in 5549d — the press dropped a still-unresolved story."
NCT03745729,"Allopurinol in Acute Coronary Syndrome","Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",2022-07-15,2022-07-15,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 1394d and no coverage in 1394d — the press dropped a still-unresolved story."
NCT02735902,"Anticoagulation Alone Versus Anticoagulation and Aspirin Following Transcatheter Aortic Valve Interventions (1:1)","Centre Hospitalier Universitaire de Nīmes",2023-02-02,2024-01-19,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 717d and no coverage in 717d — the press dropped a still-unresolved story."
NCT01309802,"A Two-Part Study of BOTOX® Therapy for Ischemic Digits","Southern Illinois University",2016-05-19,2016-07-13,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT01013753,"A Study of the Safety and Efficacy of 4 Doses of BI 1744 CL Delivered Via the Respimat in Patients With Asthma.","Boehringer Ingelheim",2011-01,2011-01,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT00115037,"Managing Alcoholism in People Who Do Not Respond to Naltrexone","University of Pennsylvania",2008-04,2008-07,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT01021995,"Echinacea Safety Study","A. Vogel AG",2010-08,2011-04,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 4371d and no coverage in 4371d — the press dropped a still-unresolved story."
NCT01018095,"Trichomonas Vaginalis Recurrence Among HIV+ Women","Tulane University Health Sciences Center",2009-07,2009-08,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT03839875,"Evaluation of Efficacy and Safety of Gynomax® XL Ovule","Exeltis Turkey",2019-08-09,2019-08-09,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 2353d and no coverage in 2353d — the press dropped a still-unresolved story."
NCT02878057,"Multicenter Phase II Study of Apatinib in Patients With Advanced Breast Cancer(CABC006)","Peking University Cancer Hospital & Institute",2020-09-02,2020-09-02,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT04790812,"Preemptive Analgesia With Celecoxib for Acute Dental Pain Management","The University of Texas Health Science Center, Houston",2023-03-01,2023-03-01,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT00302081,"Three Regimens of PegIntron Plus Ribavirin in Previously Untreated Chronic Hepatitis C, Genotype 2 or 3 (Study P03548)","Merck Sharp & Dohme LLC",2008-04,2008-04,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT03321981,"MCLA-128 With Trastuzumab/Chemotherapy in HER2+ and With Endocrine Therapy in ER+ and Low HER2 Breast Cancer.","Merus B.V.",2022-10-26,2023-07-26,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT01146119,"Further Investigation of an Intramuscular Influenza Vaccine (Multimeric-001)","BiondVax Pharmaceuticals ltd.",2011-05,2011-06,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 5093d and no coverage in 5093d — the press dropped a still-unresolved story."
NCT01861730,"Phase 1/II, Safety and Immunogenicity Study of AERAS-404 in BCG-Primed Infants","Aeras",2017-12-22,2017-12-22,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 3015d and no coverage in 3015d — the press dropped a still-unresolved story."
NCT00361530,"Carotid Intima-media Thickness in Japan Statin Treatment Against Recurrent Stroke(J-STARS Echo)","Translational Research Center for Medical Innovation, Kobe, Hyogo, Japan",2014-07,,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 3729d and no coverage in 3729d — the press dropped a still-unresolved story."
NCT03043365,"Effect of Fish Oil Enriched In Omega-11 Fatty Acid On Lipoprotein Metabolism In Adults","National Heart, Lung, and Blood Institute (NHLBI)",2019-05-29,2019-11-21,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT01148667,"Lactobacillus Rhamnosus GG: Interaction With Human Microbiota and Immunity","Turku University Hospital",2008-07,2008-07,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 5863d and no coverage in 5863d — the press dropped a still-unresolved story."
NCT05556967,"Identification of Surrogate Blood and/or Urine Biomarker for Immulina TM (Trademark) in Normal Humans","University of Mississippi Medical Center",2023-10-19,2023-10-19,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 407d and no coverage in 407d — the press dropped a still-unresolved story."
NCT03744767,"Adjuvant Anti-Mineralocorticoid-Receptor Treatment in Anti-VEGF Refractory Neovascular Age-Related Macular Degeneration","Dr Irmela MANTEL",2015-09-22,2015-09-22,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 2794d and no coverage in 2794d — the press dropped a still-unresolved story."
NCT03003000,"Ibuprofen/Caffeine Lower Back or Neck Pain Study","Boehringer Ingelheim",2017-09-24,2017-09-28,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
NCT04386707,"Lot-consistency Clinical Trial of Sabin Strain Inactivated Polio Vaccine","Sinovac Biotech Co., Ltd",2020-05-11,2020-10-20,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 1788d and no coverage in 1788d — the press dropped a still-unresolved story."
NCT01785992,"A Study of the Safety and Effectiveness of Irosustat When Added to an AI in ER+ve Locally Advanced or Metastatic Breast Cancer.","Imperial College London",2014-12,2014-12,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 4127d and no coverage in 4127d — the press dropped a still-unresolved story."
NCT02268292,"Home Bicycle Exercise and Aerobic Capacity","Taichung Veterans General Hospital",2014-08,2014-08,COMPLETED,false,ORPHANED,"Open question, no pending trigger, no material movement in 4282d and no coverage in 4282d — the press dropped a still-unresolved story."
NCT01980992,"Oral Immunotherapy for Wheat Allergy","Hugh A Sampson, MD",2015-11,2017-04-13,COMPLETED,true,RESOLVED,"Resolved (yes). Results posted on the registry."
